"address","geohash","s2","addr_res","gh_res","s2_res","tp"
"Perum Gading Elok 2, Blok C8 No. 1, Warung Bambu, Kondangjaya, Karawang Timur, Kab. Karawang, Jawa Barat 41314, Indonesia","qquk42u8bnsy","5a0d0637e1af751f","[2,56,150,1133,39,4,14,2047,7,41,4,69,377,4,2867,4,85,13,4,9,85,4,10,12,998,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,4,6,34,21,15,6,8,19,22,23,17,3]","[2,4,5,7,6,7,17,13,9,15,8,5,12,9,4,8,12,3]","train"
"Toko Sembako Asep, Jalan Karet Pasar No. 33, RT.8/RW.6, Karet Kuningan, Setia Budi, Kota Jakarta Selatan, Dki Jakarta 12940, Indonesia","qqguwgcdq0v6","5a0d262956bb8361","[2,64,1390,3411,4,6,683,79,7,326,4,108,11,59,4,683,318,4,277,335,4,8,15,16,4,20,15,3157,4,5,3,1,1,1,1,1,1]","[2,4,4,7,6,5,7,30,33,4,10,13,18,3]","[2,4,5,7,6,11,17,11,10,4,17,14,14,16,13,17,8,3]","train"
"Jalan Sindulang Satu Lingkungan II, Sindulang Satu, Tuminting, Kota Manado, Sulawesi Utara 95239, Indonesia","wb2b8bukm72m","5781ed6c0bf194c3","[2,6,19038,699,461,48,4,19038,699,4,7945,4,8,676,4,63,18,14650,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,19,15,19,8,19,6,34,25,31,15,25,3]","[2,4,9,16,8,15,6,17,18,7,14,12,8,10,19,18,13,3]","test"
"Rumah Ibu Rohriwayati, RT.6/RW.2, Mangkang Wetan, Tugu, Kota Semarang, Jawa Tengah 50151, Indonesia","qqy2q6b4b0sp","5a1ad1b1d94dd71b","[2,68,209,0,4,62,11,33,4,14328,162,4,394,4,8,84,4,10,19,9975,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,17,15,4,18,19,21,19,10,23,16,3]","[2,4,5,8,5,6,8,14,8,6,10,19,6,6,9,8,14,3]","train"
"Zakinah Water, Jalan Angkatan XLV No. 7, Lalebata, Panca Rijang, Kab. Sidenreng Rappang/Rapang, Sulawesi Selatan 91651, Indonesia","qxm4ns4yzj77","59dcc0eb314be857","[2,0,3635,4,6,4688,4437,7,95,4,0,4,2137,9230,4,9,2587,2673,11,27452,4,63,16,14654,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,9,25,21,22,23,21,17,14,28,31,31,3]","[2,4,10,6,18,18,7,15,14,13,8,19,14,15,16,4,9,3]","train"
"Perumahan Pondok Golf Asri Cilegon, Blok B3 No. 2, Purwakarta, Kota Cilegon, Banten 42433, Indonesia","qqgmv5rsp2hm","5a7304d2f6695ccf","[2,24,60,875,106,294,4,14,805,7,39,4,293,4,8,294,4,23,8865,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,25,13,24,11,23,16,15,12,25,3]","[2,4,5,9,13,7,19,6,11,12,17,17,10,4,18,18,12,3]","train"
"Gang Depan Masjid Alhusen No. 1, RT.3/RW.1, Desa Grogol, Tulangan, Kab. Sidoarjo, Jawa Timur 61273, Indonesia","qw8je9ks2nhg","5a1d827a3fe67137","[2,17,1332,107,0,7,41,4,31,11,32,4,26,274,4,1886,4,9,93,4,10,13,2303,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,28,35,32,34,23,15,22,12,7,3]","[2,4,5,8,6,16,11,9,5,13,12,15,17,9,8,13,9,3]","train"
"Perumahan Griya Samara, Blok A No. 17, Bagik Polak Barat, Labuapi, Kab. Lombok Barat, Nusa Tenggara Barat (Ntb) 83361, Indonesia","qw6wfkqfk6bp","59ed903d01ba11b5","[2,24,78,7622,4,14,66,7,161,4,9286,14766,12,4,2206,4,9,253,12,4,114,125,12,53,152,54,2365,4,5,3,1,1,1,1,1,1,1]","[2,4,5,18,5,26,34,4,26,34,18,19,16,3]","[2,4,10,15,6,10,7,13,6,7,8,14,5,8,8,14,4,3]","train"
"Perumahan Central Park Merr, Jalan Gunung Anyar Blok Ab No. 1, Gunung Anyar, Gununganyar, Kota Surabaya, Jawa Timur 60293, Indonesia","qw8nnxkgpsbu","59f7d5613f9bd90b","[2,24,2158,431,19101,4,6,89,302,14,2035,7,41,4,89,302,4,1788,4,8,61,4,10,13,3467,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,22,9,34,7,16,23,19,6,3]","[2,4,10,12,9,6,4,17,8,13,12,10,14,6,10,7,14,3]","val"
"Salon Pas, Jalan Aji, Gunung Terang, Buay Sandang Aji, Kab. Ogan Komering Ulu Selatan, Sumatera Selatan 32277, Indonesia","qr1ynt9wg6rc","5a77367c219b05f9","[2,563,4394,4,6,384,4,89,2710,4,2781,9233,384,4,9,249,310,186,16,4,21,16,20922,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,11,27,17,22,20,32,5,7,18,11,30,3]","[2,4,5,9,9,13,17,9,18,11,8,10,14,7,4,12,10,3]","train"
"Jalan Putat Gede Barat III No. 14 B, Putat Gede, Sukomanunggal, Kota Surabaya, Jawa Timur 60189, Indonesia","qw8ns3prw6jb","5a1d7eb6226c2a59","[2,6,1485,279,12,71,7,164,87,4,1485,279,4,1136,4,8,61,4,10,13,7228,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,23,29,16,11,5,18,28,19,3]","[2,4,5,8,6,9,15,14,17,11,11,17,18,11,5,4,10,3]","train"
"Jalan Ngagel Wasana III No. 44, RT.3/RW.2, Baratajaya, Gubeng, Kota Surabaya, Jawa Timur 60284, Indonesia","qw8ntbqwsjsp","5a1d7e37e170ed09","[2,6,2252,0,71,7,516,4,31,11,33,4,7091,4,963,4,8,61,4,10,13,9598,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,20,19,4,5,23,28,23,16,3]","[2,4,5,8,6,9,15,13,9,15,8,9,7,15,6,7,10,3]","test"
"Jalan Pertenakan I No. 93, RT.3/RW.7, Kapuk, Cengkareng, Kota Jakarta Barat, Dki Jakarta 11720, Indonesia","qqgvj8bruky1","5a0d29cb6ad84cf1","[2,6,37307,36,7,1565,4,31,11,65,4,425,4,215,4,8,15,12,4,20,15,1249,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,13,28,8,19,11,6,34,17,27,3]","[2,4,5,7,6,11,10,18,14,17,5,6,16,19,18,12,8,3]","train"
"Sumadi Rejosari, Jalan Rejosari Polorejo, RT.5/RW.0, Jambeyan, Sambirejo, Kab. Sragen, Jawa Tengah 57293, Indonesia","qqxj31jr2pkp","5a1b64614ee9530b","[2,24728,1998,4,6,1998,30686,4,52,11,843,4,33410,4,2720,4,9,763,4,10,19,10348,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,28,29,27,28,11,15,16,34,16,3]","[2,4,5,8,14,17,19,17,8,19,15,15,10,4,13,7,14,3]","train"
"Jalan Sultan Alimudin Gang Barokah, Samarinda Ilir, Kota Samarinda, Kalimantan Timur 75116, Indonesia","qxgm44yzxe88","59e21fd34d8d81b9","[2,6,554,16000,17,812,4,203,133,4,8,203,4,44,13,8810,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,9,7,25,21,21,17,14,9,35,8,8,3]","[2,4,10,15,11,8,12,6,13,19,6,16,6,16,8,14,10,3]","train"
"Perumahan Dinas Bank Mandiri, Jalan Siliwangi Gang Kramat IV No. 46 C, Kesenden, Kejaksan, Kota Cirebon, Jawa Barat 45121, Indonesia","qqv1y5xvpyh1","5a0e3d8d37562483","[2,24,1160,744,514,4,6,1240,17,267,123,7,510,119,4,11973,4,3300,4,8,168,4,10,12,8795,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,4,13,27,17,24,9,13,16,17,12,27,3]","[2,4,5,7,15,13,6,16,6,13,9,4,17,11,19,16,13,3]","train"
"Perumahan Tas 5, Blok I 9 No. 11, Bendotretek, Prambon, Kab. Sidoarjo, Jawa Timur 61264, Indonesia","qw8j9k52be4v","5a1d77ceacccbd87","[2,24,4492,72,4,14,36,109,7,128,4,14538,4,2405,4,9,93,4,10,13,4129,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,28,32,34,24,15,19,35,21,13,3]","[2,4,5,8,6,9,9,18,15,5,18,18,18,14,6,16,9,3]","test"
"Royalmat, Jalan Apel No. 223, /RW.2, Pasir Putih, Bukit Intan, Kota Pangkal Pinang, Bangka Belitung 33147, Indonesia","qre7yuuk9kcf","5a74e03340840fcf","[2,0,4,6,2606,7,9287,4,143,11,33,4,187,195,4,104,765,4,8,539,134,4,171,232,4338,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,11,35,31,17,6,6,34,32,34,30,26,3]","[2,4,5,9,19,15,7,13,13,19,7,16,19,7,12,18,12,3]","train"
"Teh Imas Seblak, RT.1/RW.5, Kampung Susukan, Campaka, Kab. Cianjur, Jawa Barat 43263, Indonesia","qqu0mrnf1hkp","5a0d14a517700a1d","[2,877,8354,1543,4,25,11,49,4,40,1131,4,1897,4,9,278,4,10,12,16393,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,10,25,11,22,26,27,12,34,16,3]","[2,4,5,7,6,8,19,5,4,8,9,9,7,7,5,8,6,3]","train"
"Toko Mantika Mart, Jalan Pelabuhan Sape, Kampung Bugis, Sape, Kab. Bima, Nusa Tenggara Barat (Ntb) 84182, Indonesia","qwkxhn3mz7ku","59c021d876dca001","[2,64,0,2126,4,6,1224,8808,4,40,2530,4,8808,4,9,891,4,114,125,12,53,152,54,12105,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,5,34,9,12,22,29,25,14,31,34,6,3]","[2,4,10,18,7,11,8,6,16,9,17,6,18,5,7,7,8,3]","train"
"Naspad Bundo Kito, Gang Nagka IV, RT.1/RW.2, Kampung Baru Selatan, Pakulonan, Serpong Utara, Kota Tangerang Selatan, Banten 15334, Indonesia","qqgu6z9q84s0","5a0d2adca6fa7c0b","[2,0,9107,12447,4,17,25351,123,4,25,11,33,4,40,45,16,4,1605,4,192,18,4,8,29,16,4,23,10249,4,5,3,1,1,1,1,1,1]","[2,4,4,7,6,18,14,32,4,8,21,23,10,3]","[2,4,5,7,6,11,5,6,18,5,17,12,5,9,18,7,14,3]","train"
"Warung Seblak Arsya, Jalan Rancabolang, RT.3/RW.4, Sekejati, Rancasari, Kota Bandung, Jawa Barat 40292, Indonesia","qqsrxzwj3d00","5a0d9a3b609234f9","[2,69,1543,23925,4,6,5459,4,31,11,43,4,4764,4,1748,4,8,37,4,10,12,2043,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,23,11,9,14,5,28,29,33,10,10,3]","[2,4,5,7,6,10,5,13,14,17,7,10,11,13,19,12,10,3]","test"
"Ruko Rawone, Jalan Boulevard Raya No. 12, RT.3/RW.18, Pegangsaan Dua, Kelapa Gading, Kota Jakarta Utara, Dki Jakarta 14250, Indonesia","qquj0b9qcu41","5a0d20d34b038ee7","[2,194,0,4,6,627,22,7,129,4,31,11,591,4,1759,169,4,112,150,4,8,15,18,4,20,15,2497,4,5,3,1,1,1,1,1,1,1]","[2,4,4,6,28,10,19,32,4,30,6,21,27,3]","[2,4,5,7,6,11,7,6,13,19,14,7,13,16,15,15,9,3]","test"
"Perumahan Staff Pks, Jalan Alur, Pulau Tiga, Tamiang Hulu, Kab. Aceh Tamiang, Nanggroe Aceh Darussalam (Nad) 24478, Indonesia","w0txsy7efpgf","50782d178df80c99","[2,24,20602,11983,4,6,1268,4,397,538,4,2419,268,4,9,154,2419,4,251,154,219,53,252,54,31149,4,5,3,1,1,1,1,1,1,1,1,1]","[2,5,10,20,9,23,17,31,35,26,16,7,26,3]","[2,4,7,9,16,11,6,8,9,16,6,12,16,7,18,10,10,3]","train"
"Store Cosmic Serang, Jalan Ahmad Yani, Sumurpecung, Sumur Pecung, Serang, Kota Serang, Banten 42116, Indonesia","qqgmpvgtvmkp","5a731ebcf6661a51","[2,1441,0,97,4,6,349,317,4,12315,4,523,5370,4,97,4,8,97,4,23,3450,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,25,16,13,7,20,13,25,34,16,3]","[2,4,5,9,13,8,15,14,18,12,17,17,17,8,5,4,8,3]","test"
"Jalan Pendidikan Gang Madinah No. 357, Tembung, Percut Sei Tuan, Kab. Deli Serdang, Sumatera Utara 20371, Indonesia","w0whx5jej36v","5078e3ce481bdfb3","[2,6,1149,17,6340,7,18819,4,557,4,529,148,499,4,9,167,159,4,21,18,549,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,10,5,12,9,24,28,35,28,29,18,13,3]","[2,4,7,9,16,15,13,18,15,19,16,8,14,6,12,14,13,3]","val"
"Rt 002 Rw, Jalan Kembang Harapan No. No. 8, Cinta Raja, Sail, Kota Pekanbaru, Riau 28131, Indonesia","w204usq04jeb","5081d16d58a218af","[2,433,12259,684,4,6,777,246,7,7,101,4,1619,497,4,3824,4,8,151,4,50,9745,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,15,10,21,6,23,4,10,21,28,35,19,3]","[2,4,7,16,8,6,8,17,6,4,16,5,11,8,16,5,12,3]","test"
"Toko Barokah Jaya, Jalan Bulusari Gang II, RT.2/RW.6, Dusun Bulusari Utara, Bulusari, Tarokan, Kab. Kediri, Jawa Timur 64152, Indonesia","qqxegrsfv8hn","5a1c55fc5bd9a5a7","[2,64,812,47,4,6,6984,17,48,4,27,11,59,4,55,6984,18,4,6984,4,8602,4,9,206,4,10,13,9903,4,5,3,1,1,1,1,1,1]","[2,4,4,9,35,7,11,23,26,13,8,12,22,3]","[2,4,5,8,18,4,4,12,18,4,14,6,10,5,4,5,9,3]","train"
"Jalan Taman Adiyasa Blok A 8 No. 15, RT.3/RW.5, Cikasungka, Solear, Kab. Tangerang, Banten 15730, Indonesia","qqgsjb0qtxcq","5a72d83a73bea97f","[2,6,111,6784,14,66,101,7,153,4,31,11,49,4,4076,4,1889,4,9,29,4,23,1055,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,23,28,19,10,4,20,9,30,4,3]","[2,4,5,9,11,6,16,13,5,9,13,14,15,5,10,9,12,3]","train"
"Nagoya Paradise Center, Blok I No. 3a, Kelurahan Batu Selicin, Lubuk Baja, Kota Batam, Kepulauan Riau 29432, Indonesia","w21yqxtxn4dr","509d6b5ea14f57a1","[2,4226,1808,1045,4,14,36,7,948,4,30,99,3871,4,163,672,4,8,74,4,86,50,2021,4,5,3,1,1,1,1,1,1,1,1,1,1,1]","[2,5,15,27,17,4,9,20,9,22,21,33,11,3]","[2,4,7,10,6,17,14,4,15,5,8,19,12,4,9,5,8,3]","test"
"Balaidesa Keboledan, Jalan Makmur No. 1, RT.31, Keboledan, Wanasari, Kab. Brebes, Jawa Tengah 52252, Indonesia","qqv8brk9uhnc","5a0fd3b91a32f409","[2,3802,23599,4,6,347,7,41,4,1774,4,23599,4,822,4,9,314,4,10,19,4479,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,8,19,11,34,32,6,12,22,30,3]","[2,4,5,7,12,6,13,14,10,8,5,13,11,12,19,7,10,3]","val"
"Haniiii, Jalan Mahakam, RT.15/RW.6, Slawi Wetan, Slawi, Kab. Tegal, Jawa Tengah 52411, Indonesia","qqv85wtpyj4z","5a0fd9ccd3a33d4d","[2,0,4,6,5957,4,332,11,59,4,2315,162,4,2315,4,9,124,4,10,19,9357,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,8,24,5,20,16,17,28,21,14,3]","[2,4,5,7,12,6,10,18,18,6,13,5,13,13,6,19,6,3]","test"
"Jalan Lili Ujung No. 5, Panglima, Labuh Baru Timur, Payung Sekaki, Kota Pekanbaru, Riau 28292, Indonesia","w2055bj7bu75","5081d3ce119eef2b","[2,6,3930,210,7,72,4,1433,4,1962,45,13,4,784,1295,4,8,151,4,50,1991,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,5,15,10,24,24,19,28,31,19,6,31,24,3]","[2,4,7,16,8,6,13,18,15,8,8,10,15,15,12,11,14,3]","train"
"Kos Gerbang Hitam, Jalan Krikilan No. 1, RT.4/RW.11, Krikilan, Berbah, Kab. Sleman, Di Yogyakarta 55573, Indonesia","qqwe3p1wc1wu","5a1ae30cfc7ac195","[2,147,2450,810,4,6,12010,7,41,4,38,11,145,4,12010,4,3606,4,9,160,4,82,70,4363,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,5,35,29,16,27,5,30,27,5,6,3]","[2,4,5,8,5,15,13,7,18,12,18,9,5,18,8,10,4,3]","val"
"Perumahan Grand Permata Cluster Green Zambrud, Jalan Guntung Paring No. C61, Guntung Manggis, Landasan Ulin, Kota Banjarbaru, Kalimantan Selatan 70724, Indonesia","qx3shpk28w0j","59fba484bb22b133","[2,24,205,166,118,272,12487,4,6,1654,7359,7,0,4,1654,608,4,933,758,4,8,562,4,44,16,2801,4,5,3,1,1,1,1,1,1,1,1]","[2,4,9,29,23,12,16,34,15,8,5,10,28,3]","[2,4,10,12,14,5,19,16,19,14,14,11,11,14,8,13,13,3]","train"
"Jalan Suryanegara No. 291, RT.6/RW.2, Desa Pamijahan, Plumbon, Kab. Cirebon, Jawa Barat 45155, Indonesia","qqv1sr10cbmh","5a0e16bf2c078e6d","[2,6,39998,7,14256,4,62,11,33,4,26,2623,4,2554,4,9,168,4,10,12,3035,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,13,27,23,11,27,10,30,19,25,12,3]","[2,4,5,7,15,8,17,14,12,11,18,7,9,16,15,17,6,3]","train"
"Toko Barok Cell, RT.5/RW.2, Dusun Beji Geneng, Desa Sumbersuko, Purwosari, Kab. Pasuruan, Jawa Timur 67162, Indonesia","qw85uz46r4w0","5a1d867867801205","[2,64,38917,370,4,52,11,33,4,55,438,3176,4,26,7002,4,1421,4,9,280,4,10,13,5178,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,24,6,14,21,18,11,21,5,10,3]","[2,4,5,8,6,16,17,9,16,17,9,16,7,8,11,7,4,3]","val"
"Bengkel Global Diesel, Jalan Tunuk, Montong Dewa, Desa Dasan Baru, Kopang, Kab. Lombok Tengah, Nusa Tenggara Barat (Ntb) 83553, Indonesia","qw6wz98v31jj","59eda2e1891fb0bb","[2,218,4116,14155,4,6,0,4,3451,1564,4,26,2279,45,4,5385,4,9,253,19,4,114,125,12,53,152,54,8383,4,5,3,1,1,1,1,1,1]","[2,4,5,18,5,14,32,8,13,29,27,28,28,3]","[2,4,10,15,6,5,11,15,8,16,10,8,12,14,7,14,14,3]","train"
"Tugu Perbatasan, Jalan Starium, Sumurwarak, Purworejo, Ngunut, Kab. Tulungagung, Jawa Timur 66292, Indonesia","qqx9uk9024n5","5a1c52755aa0d72b","[2,394,2499,4,6,0,4,0,4,582,4,3681,4,9,396,4,10,13,5655,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,9,32,6,34,32,10,15,21,22,24,3]","[2,4,5,8,18,4,11,9,4,4,5,5,7,6,9,11,14,3]","train"
"Jalan Dharma Wanita IV Blok F No. 20, RT.10/RW.1, Kelurahan Rawabuaya, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Dki Jakarta 11740, Indonesia","qqguuz3584q8","5a0d29eddfda6d13","[2,6,1684,5190,123,14,241,7,181,4,156,11,32,4,30,11724,4,222,746,4,215,4,8,15,12,4,20,15,2311,4,5,3,1,1,1,1,1]","[2,4,4,7,6,6,14,29,24,8,21,4,8,3]","[2,4,5,7,6,11,10,15,6,6,12,6,5,17,6,8,13,3]","train"
"Jalan Griya Cileungsi II Blok B 22 No. 1, Mampir, Cileungsi, Kab. Bogor, Jawa Barat 16820, Indonesia","qqu56ydc5we0","5a0d229018d69ded","[2,6,78,289,48,14,87,214,7,41,4,3380,4,289,4,9,34,4,10,12,486,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,6,24,18,17,33,30,24,5,35,10,3]","[2,4,5,7,6,11,11,10,7,8,16,6,17,10,6,15,6,3]","val"
"Perumahan Puri Jepun Permai 1, Jalan Mastrip Gang I No. 59, Kelurahan Jepun, Tulungagung, Kab. Tulungagung, Jawa Timur 66218, Indonesia","qqxd499egxvt","5a1c504b6bf6deff","[2,24,146,6242,92,41,4,6,2959,17,36,7,697,4,30,6242,4,396,4,9,396,4,10,13,9640,4,5,3,1,1,1,1,1,1,1,1,1]","[2,4,4,9,33,21,32,32,35,7,9,13,20,3]","[2,4,5,8,18,4,7,19,14,17,14,12,17,6,15,12,12,3]","train"
"Bascame Shoppe Express Gansel, Cilandak Barat, Cilandak, Kota Jakarta Selatan, Dki Jakarta, Indonesia","qqguq0q4vg8s","5a0d28bf8cf1a36b","[2,0,21464,1780,0,4,423,12,4,423,4,8,15,16,4,20,15,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,6,4,10,4,21,13,7,8,23,3]","[2,4,5,7,6,11,16,14,12,16,18,12,8,5,13,17,14,3]","train"
"Jalan Janur Kuning VI No. 15, RT.8/RW.13, Duri Kosambi, Cengkareng, Kota Jakarta Barat, Dki Jakarta 11750, Indonesia","qqguu5y92wb0","5a0d2a179ab6e41d","[2,6,6855,399,226,7,153,4,108,11,213,4,329,419,4,215,4,8,15,12,4,20,15,1575,4,5,3,1,1,1,1,1,1,1,1,1,1]","[2,4,4,7,6,6,24,17,32,15,5,19,10,3]","[2,4,5,7,6,11,5,8,9,10,5,14,17,15,19,8,6,3]","val"
"Stanfordplace, Jeruk, Lakar Santri, Kota Surabaya, Jawa Timur 60211, Indonesia","qw8n7r5531rr","5a1d797465b7cf77","[2,0,4,238,4,1388,1158,4,8,61,4,10,13,4546,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,31,11,24,24,29,27,11,11,3]","[2,4,5,8,6,9,10,9,19,17,4,14,9,18,12,9,9,3]","train"
"Mushollah Namiroh, Jalan Kebraon Gang V No. 10, Kebraon, Karangpilang, Kota Surabaya, Jawa Timur 60222, Indonesia","qw8nk94bh9jt","5a1d7ed7c115330f","[2,3808,0,4,6,3530,17,126,7,110,4,3530,4,1912,4,8,61,4,10,13,4964,4,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1]","[2,4,5,8,22,34,32,21,19,12,32,28,20,3]","[2,4,5,8,6,9,15,6,9,18,8,8,4,13,13,7,12,3]","test"
